sample,sample_complete_description,core,method,enrichment,subgroup,genome,length,relative_abundance (%),breadth,coverage,sample_read_bases,sample_reads,popANI_reference,conANI_reference,filtered_read_pair_count,reads_unfiltered_pairs,reads_mean_PID,divergent_site_count,reads_unfiltered_reads,nucl_diversity,true_scaffolds,detected_scaffolds,coverage_median,coverage_std,coverage_SEM,breadth_minCov,breadth_expected,nucl_diversity_rarefied,iRep,iRep_GC_corrected,linked_SNV_count,SNV_distance_mean,r2_mean,d_prime_mean,consensus_divergent_sites,population_divergent_sites,SNS_count,SNV_count
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Tomato_mosaic_virus-tax12253-GCF_000853705.1_ViralProj14926_genomic.fna,6383.0,0.1168252732007691,0.43600187999373335,0.9503368322105592,6107540,82174,1.0,0.9958333333333332,48,67,0.9746256422051152,1.0,136,0.0033333333830039003,1.0,1.0,0,1.6022377418374618,0.02037804220011041,0.037599874667084435,0.567921253092585,0.0,,False,,,,,1.0,0.0,0.0,1.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Tomato_brown_rugose_fruit_virus-tax1761477-GCF_001461485.1_ViralProj304915_genomic.fna,6393.0,1.591744347360479,0.9368058814328172,13.32175817300172,6107540,82174,0.9998016660055532,0.9992066640222134,654,743,0.990614017495242,33.0,1524,0.004305660618245222,1.0,1.0,11,11.393602529974794,0.14479234139659194,0.7886751134052871,0.9999922134484044,0.0,1.6071678650860923,False,20.0,7.95,0.5152559835225377,0.9719696969696968,4.0,1.0,1.0,32.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Severe_acute_respiratory_syndrome_coronavirus_2-tax2697049-GCF_009858895.2_ASM985889v3_genomic.fna,29903.0,1.4457127558595175,0.7049794335016554,2.508343644450389,6107540,82174,0.9998274969811972,0.9994824909435917,594,662,0.9882738964707068,8.0,1377,0.004076951821343489,1.0,1.0,1,3.323711854369478,0.01928548295743096,0.1938601478112564,0.8908320151897026,0.0,,False,,,,,3.0,1.0,1.0,7.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Pepper_mild_mottle_virus_strain_S-tax12239-GCF_000859645.1_ViralProj15148_genomic.fna,6357.0,0.05841263660038455,0.33962560956425986,0.4959886739027843,6107540,82174,0.0,0.0,24,30,0.974398350205838,0.0,61,,1.0,1.0,0,0.7769608757670743,0.009902613861267652,0.0,0.3546471122815293,,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Cucumber_green_mottle_mosaic_virus_strain_SH-tax12235-GCF_000849225.1_ViralProj14681_genomic.fna,6424.0,0.029206318300192276,0.149439601494396,0.2594956413449564,6107540,82174,1.0,1.0,12,13,0.9814755900293036,0.0,26,0.0,1.0,1.0,0,0.7700324256272609,0.009761332647740423,0.00809464508094645,0.20477855131219413,0.0,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Wuhan_insect_virus_23_strain_WHCCII13263-tax1923727-GCF_001921615.1_ViralMultiSegProj358547_genomic.fna,2858.0,0.05111105702533648,0.4793561931420574,0.9394681595521344,6107540,82174,1.0,1.0,21,28,0.9699489424359894,0.0,56,0.0,2.0,2.0,1,1.2962417051997668,0.026150705632681858,0.013296011196641006,0.5637546152471404,0.0,,False,,,,,0.0,0.0,0.0,0.0
5_13_C_S2,5_13_C_S2_MIGS,MIGS,amicon,enriched,MIGS_amicon,Tomato_mosaic_virus-tax12253-GCF_000853705.1_ViralProj14926_genomic.fna,6383.0,0.14910536779324055,0.18611937960206798,0.3319755600814664,1796238,24144,1.0,1.0,18,19,0.9786830494333532,0.0,38,0.0,1.0,1.0,0,0.8060090169970852,0.010251216366430048,0.001723327588908037,0.25407813252517275,0.0,,False,,,,,0.0,0.0,0.0,0.0
5_13_C_S2,5_13_C_S2_MIGS,MIGS,amicon,enriched,MIGS_amicon,Tomato_brown_rugose_fruit_virus-tax1761477-GCF_001461485.1_ViralProj304915_genomic.fna,6393.0,1.5987408880053016,0.8850305021116847,3.9091193492882836,1796238,24144,0.999582985821518,0.999582985821518,193,216,0.9917814463173308,8.0,447,0.0035241326508271826,1.0,1.0,3,3.048588747991517,0.038742118800064285,0.3750977631784765,0.9683099454976608,0.0,,False,,,,,1.0,1.0,1.0,7.0
5_13_C_S2,5_13_C_S2_MIGS,MIGS,amicon,enriched,MIGS_amicon,Severe_acute_respiratory_syndrome_coronavirus_2-tax2697049-GCF_009858895.2_ASM985889v3_genomic.fna,29903.0,6.800861497680582,0.9442196435140288,3.7168511520583216,1796238,24144,0.9998819501829772,0.9998819501829772,821,888,0.9936800498584984,1.0,1796,0.002344433799176704,1.0,1.0,3,2.810959034357776,0.016310289497531508,0.2832826137845701,0.9624461571802848,0.0,,False,,,,,1.0,1.0,1.0,0.0
5_13_C_S2,5_13_C_S2_MIGS,MIGS,amicon,enriched,MIGS_amicon,Cucumber_green_mottle_mosaic_virus_strain_SH-tax12235-GCF_000849225.1_ViralProj14681_genomic.fna,6424.0,0.06626905235255136,0.13216064757160648,0.149439601494396,1796238,24144,0.0,0.0,8,8,0.9823749707213504,0.0,16,,1.0,1.0,0,0.40757764975437305,0.005166666865743768,0.0,0.12361971602521238,,,False,,,,,0.0,0.0,0.0,0.0
5_13_C_S2,5_13_C_S2_MIGS,MIGS,amicon,enriched,MIGS_amicon,Pepper_mild_mottle_virus_strain_S-tax12239-GCF_000859645.1_ViralProj15148_genomic.fna,6357.0,0.09111994698475812,0.17177914110429449,0.2386345760578889,1796238,24144,0.0,0.0,11,12,0.9809186087694282,0.0,24,,1.0,1.0,0,0.6065572194576657,0.00773076497979821,0.0,0.18999457245002127,,,False,,,,,0.0,0.0,0.0,0.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,Severe_acute_respiratory_syndrome_coronavirus_2-tax2697049-GCF_009858895.2_ASM985889v3_genomic.fna,29903.0,1.937352149441227,0.9979266294351736,14.679630806273618,25431914,343252,0.9999295576218652,0.9997886728655959,3325,3642,0.9917373759213772,88.0,7462,0.0027927751334058115,1.0,1.0,14,7.519903359850661,0.04363343588201619,0.9494699528475404,0.9999976523928954,0.0,1.6912319102202271,False,36.0,7.583333333333332,0.8921794828031387,1.0,6.0,2.0,2.0,86.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,Sewage_associated_gemycircularvirus_4-tax1519399-GCF_000928235.1_ViralProj272438_genomic.fna,2115.0,0.0029133115029191382,0.16973995271867612,0.2468085106382979,25431914,343252,0.0,0.0,5,5,0.985234899328859,0.0,10,,1.0,1.0,0,0.5652427345510702,0.012920044873826015,0.0,0.1958198075033624,,,False,,,,,0.0,0.0,0.0,0.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,Tomato_brown_rugose_fruit_virus-tax1761477-GCF_001461485.1_ViralProj304915_genomic.fna,6393.0,0.9409996154428816,0.9890505240106366,33.61708118254341,25431914,343252,0.999671322925226,0.9991783073130648,1615,1794,0.9923963983070182,43.0,3658,0.003797068356879985,1.0,1.0,28,20.69003423424046,0.26293338673785976,0.9518223056468011,0.9999999999998715,0.004025396981747531,,False,19.0,27.052631578947373,0.35887576594616416,0.9644444444444444,5.0,2.0,2.0,41.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,Tomato_mosaic_virus-tax12253-GCF_000853705.1_ViralProj14926_genomic.fna,6383.0,0.0780767482782329,0.8030706564311453,2.8226539244869184,25431914,343252,0.9943701618578464,0.9894440534834624,134,154,0.9807293254375044,23.0,309,0.008998869675133636,1.0,1.0,2,2.436986067423999,0.030994779130652374,0.2226225912580292,0.9172890612397808,0.0,,False,,,,,15.0,8.0,8.0,15.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,Tropical_soda_apple_mosaic_virus-tax327387-GCF_001654245.1_ViralProj322841_genomic.fna,6350.0,0.005243960705254448,0.14377952755905513,0.17574803149606302,25431914,343252,0.0,0.0,9,9,0.9932884562414764,0.0,18,,1.0,1.0,0,0.4631961830003177,0.00590694225594785,0.0,0.14374368291125428,,,False,,,,,0.0,0.0,0.0,0.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,Tobacco_mild_green_mosaic_virus-tax12241-GCF_000847545.1_ViralProj14671_genomic.fna,6355.0,0.0029133115029191382,0.1005507474429583,0.10810385523210073,25431914,343252,0.0,0.0,5,7,0.9719721177061428,0.0,16,,1.0,1.0,0,0.33875564691973903,0.004318250157169136,0.0,0.09104137616133023,,,False,,,,,0.0,0.0,0.0,0.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,Primate_bocaparvovirus_1-tax1511871-GCF_000866725.1_ViralProj15895_genomic.fna,5299.0,0.003495973803502966,0.1051141724853746,0.15078316663521418,25431914,343252,0.0,0.0,6,6,0.9854809843400446,0.0,13,,1.0,1.0,0,0.5152696394591516,0.007216633305282981,0.0,0.1246588090716484,,,False,,,,,0.0,0.0,0.0,0.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,uncultured_crAssphage-tax1211417-GCF_000922395.1_ViralProj259336_genomic.fna,97065.0,0.26278069756330624,0.3841755524648432,0.625549889249472,25431914,343252,0.9896551724137932,0.9844827586206896,451,552,0.9746306289000384,17.0,1152,0.015111145377159074,1.0,1.0,0,0.9916276377345364,0.0031861588395431296,0.005975377324473291,0.4244105035901634,0.0,,False,,,,,9.0,6.0,6.0,11.0
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,Pepper_mild_mottle_virus_strain_S-tax12239-GCF_000859645.1_ViralProj15148_genomic.fna,6357.0,0.05127428245137683,0.7638823344344817,1.880761365423942,25431914,343252,0.9967532467532468,0.9837662337662336,88,94,0.9779715799982732,19.0,193,0.021166452146195724,1.0,1.0,2,1.7154047141818876,0.0218633795216144,0.09690105395626868,0.8099964049470499,0.0,,False,,,,,10.0,2.0,2.0,17.0
