sample,sample_complete_description,core,method,enrichment,subgroup,genome,length,coverage,breadth,popANI_reference,conANI_reference,filtered_read_pair_count,reads_unfiltered_pairs,reads_mean_PID,divergent_site_count,reads_unfiltered_reads,nucl_diversity,true_scaffolds,detected_scaffolds,coverage_median,coverage_std,coverage_SEM,breadth_minCov,breadth_expected,nucl_diversity_rarefied,iRep,iRep_GC_corrected,linked_SNV_count,SNV_distance_mean,r2_mean,d_prime_mean,consensus_divergent_sites,population_divergent_sites,SNS_count,SNV_count
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Youcai_mosaic_virus-tax228578-GCF_000852505.1_ViralProj14869_genomic.fna,6303.0,0.04870696493733143,0.023322227510709188,0.0,0.0,3,3,0.9728187091200792,0.0,6,,1.0,1.0,0,0.3371082458110118,0.004315521394784861,0.0,0.0420965127073325,,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Wuhan_insect_virus_23_strain_WHCCII13263-tax1923727-GCF_001921615.1_ViralMultiSegProj358547_genomic.fna,2858.0,0.9394681595521344,0.4793561931420574,1.0,1.0,21,28,0.9699489424359894,0.0,56,0.0,2.0,2.0,1,1.2962417051997668,0.026150705632681858,0.013296011196641006,0.5637546152471404,0.0,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Bovine_coronavirus-tax11128-GCF_000862505.1_ViralProj15385_genomic.fna,31028.0,0.004093077220574964,0.004093077220574964,0.0,0.0,1,6,0.9690728476821192,0.0,12,,1.0,1.0,0,0.06405201121042461,0.00036481034043853535,0.0,0.0036076638724522603,,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Cactus_virus_X-tax112227-GCF_000856405.1_ViralProj14996_genomic.fna,6614.0,0.04006652555185969,0.04006652555185969,0.0,0.0,2,2,0.9965986394557824,0.0,4,,1.0,1.0,0,0.19901977361724046,0.00248522439463678,0.0,0.03476022988199001,,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Chayote_mosaic_virus-tax71030-GCF_000862665.1_ViralProj15420_genomic.fna,6364.0,0.0399120050282841,0.0281269641734758,0.0,0.0,2,7,0.9099871299871298,0.0,14,,1.0,1.0,0,0.25267338283533464,0.003218573349716411,0.0,0.03462852201681688,,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Cucumber_green_mottle_mosaic_virus_strain_SH-tax12235-GCF_000849225.1_ViralProj14681_genomic.fna,6424.0,0.2594956413449564,0.149439601494396,1.0,1.0,12,13,0.9814755900293036,0.0,26,0.0,1.0,1.0,0,0.7700324256272609,0.009761332647740423,0.00809464508094645,0.20477855131219413,0.0,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Escherichia_phage_DE3-tax482822-GCF_002758635.1_ASM275863v1_genomic.fna,42925.0,0.0031683168316831685,0.0031683168316831685,0.0,0.0,1,2,0.9697986577181208,0.0,9,,1.0,1.0,0,0.0563295269671789,0.0002725211111518813,0.0,0.0027937140598270904,,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Grapevine_Algerian_latent_virus_strain_nipplefruit-tax208084-GCF_000883275.1_ViralProj32675_genomic.fna,4731.0,0.02853519340519974,0.02853519340519974,0.0,0.0,1,1,0.9865771812080536,0.0,2,,1.0,1.0,0,0.17002064677546094,0.0025261117732470434,0.0,0.02488179143249092,,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Hubei_picorna_like_virus_61_strain_mosHB235903-tax1923144-GCF_001957495.1_ViralProj361635_genomic.fna,8681.0,0.048381522866029265,0.048381522866029265,0.0,0.0,3,6,0.951996698467526,0.0,13,,1.0,1.0,0,0.21695618851250825,0.0023559936546376373,0.0,0.041821204882366736,,,False,,,,,0.0,0.0,0.0,0.0
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,Escherichia_phage_TL_2011b-tax1124654-GCF_000903215.1_ViralProj181074_genomic.fna,44784.0,0.008440514469453377,0.00334941050375134,0.0,0.0,3,3,0.9800441501103752,0.0,6,,1.0,1.0,0,0.15042221614061976,0.0007124056223979429,0.0,0.007425269733552064,,,False,,,,,0.0,0.0,0.0,0.0
